time,branch1_seg0,branch2_seg0
0.4,3024.34516114,3158.03787614
0.42,3044.36615339,3333.22773844
0.44,4137.33648655,4524.15575197
0.46,4446.24318339,4679.06701899
0.48,3743.34399651,3821.31499446
0.5,3492.62900266,3619.92716956
0.52,4157.6911159,4372.76504895
0.54,4607.50178074,4750.63078794
0.56,4265.99569161,4280.26431047
0.58,3951.99558727,3961.54869913
0.6,4288.60477278,4367.35245881
0.62,4713.2346738,4777.29253503
0.64,4613.78205924,4592.91580454
0.66,4342.35839364,4298.14942171
0.68,4464.03449932,4470.65009115
0.7000000000000001,4792.54845944,4817.84746541
0.72,4829.48891607,4811.5882728
0.74,4639.88879275,4598.43770306
0.76,4643.7752067,4636.90034102
0.78,4864.76349447,4890.03191577
0.8,4961.73756546,4973.56605476
0.8200000000000001,4855.27013089,4849.52382467
0.84,4810.96755164,4825.71218856
0.86,4942.66626939,4989.00791439
0.88,5052.80843667,5101.78412327
0.9,5013.0410271,5050.20003413
0.92,4962.68284833,5008.63201421
0.9400000000000001,5032.49710924,5101.913063
0.96,5131.80683461,5209.23079417
0.98,5137.13844581,5206.37248233
1.0,5100.93832048,5170.24339223
1.02,5134.04857467,5216.61855669
1.04,5213.44078246,5303.26328625
1.06,5243.94358908,5327.53683298
1.08,5227.41263887,5305.79659882
1.1,5242.23624767,5325.2801929
1.12,5300.96098646,5388.3685163
1.1400000000000001,5341.38105536,5423.92347225
1.16,5341.96550213,5417.3309592
1.18,5349.81001034,5424.44134951
1.2,5390.97826137,5467.39953923
1.22,5431.39150127,5504.41013345
1.24,5443.4520116,5509.87234219
1.26,5450.10284338,5513.57285496
1.28,5478.05971879,5541.95494392
1.3,5513.23526841,5575.37926588
1.32,5531.12204839,5588.66004426
1.34,5538.856189,5593.44403139
1.36,5557.82275756,5612.53839016
1.3800000000000001,5586.0056947,5640.51488163
1.4000000000000001,5605.49253718,5657.69629652
1.42,5614.74090304,5665.02438167
1.44,5628.20626658,5678.83544334
1.46,5649.79111398,5701.30335127
1.48,5668.37136181,5719.41220547
1.5,5678.79276859,5729.04186727
1.52,5689.31188976,5740.13769681
1.54,5705.6989308,5757.8711769
1.56,5722.26747944,5775.00584794
1.58,5733.30983433,5785.9943965
1.6,5742.52236983,5795.78052578
1.62,5755.30438224,5809.80922292
1.6400000000000001,5769.63907678,5825.00214472
1.6600000000000001,5780.77130109,5836.33839993
1.68,5789.54306552,5845.44895371
1.7,5800.04287877,5856.7572637
1.72,5812.3435947,5869.72638392
1.74,5823.1281322,5880.64069919
1.76,5831.75857127,5889.28184675
1.78,5840.86237234,5898.67719986
1.8,5851.45109208,5909.56599108
1.82,5861.55513925,5919.60755269
1.84,5869.99938577,5927.79166597
1.86,5878.19344648,5935.87518025
1.8800000000000001,5887.36091665,5945.02174958
1.9000000000000001,5896.5649356,5954.01382556
1.92,5904.63257785,5961.69331327
1.94,5912.12216156,5968.8684098
1.96,5920.09887196,5976.65260404
1.98,5928.29586788,5984.59745858
2.0,5935.78892447,5991.7208661
